Moscow,Paris,London,Madrid,Rome,Crete,Barcelona,Berlin,Budapest,Florence,Amsterdam,Prague,Istanbul,Vienna,Venice
0,146,126,202,146,168,143,156,207,291,154,146,115,131,129
227,0,60,143,93,123,139,110,162,85,52,135,150,140,68
213,82,0,249,160,284,135,107,163,224,124,171,197,179,152
188,86,136,0,144,188,69,70,96,138,103,124,180,143,119
223,80,125,146,0,177,39,96,69,84,94,94,74,105,71
233,81,223,188,58,0,131,123,58,241,200,114,120,164,169
200,121,79,76,32,165,0,143,108,103,90,110,141,103,74
130,53,81,97,83,153,110,0,83,214,92,123,99,176,104
249,133,125,96,41,123,96,76,0,164,157,113,50,149,97
309,246,162,172,86,301,90,186,204,0,227,155,279,229,150
155,158,73,141,136,211,117,106,125,229,0,85,121,155,95
112,122,100,112,48,193,116,108,138,144,97,0,85,152,65
123,101,127,154,67,173,122,86,41,235,66,108,0,59,65
145,162,122,202,90,75,145,117,175,171,90,181,121,0,194
167,65,177,117,84,191,97,119,110,152,75,96,177,152,0
